sku_code,category,subcategory,model_name,style_tags,description,price_inr,height_in,width_in,depth_in,
30438IN,toilet,wall-hung,Reach,modern;sleek,"A perfect union of practicality and simple aesthetics, the Reach™ Eco wall-hung round toilet is undeniably modern with beautiful straight lines that complement a variety of bathroom styles. This round wall-hung toilet is designed specifically for comfortability and spaciousness, making it the perfect addition to any bathroom environment. Designed to be a more eco-friendly option, the integrated washdown flushing system produces a stronger flush, reducing water consumption by 40%. The addition of the fully skirted trapway and rimless design ensures cleaning is a breeze. ",20000,18.5,14.5,21,
30439IN,toilet,"wall-hung, bidet",Reach,zen;modern;luxury,"A perfect union of practicality and simple aesthetics, the Reach™ Eco wall-hung round toilet is undeniably modern with beautiful straight lines that complement a variety of bathroom styles. This round wall-hung toilet is designed specifically for comfortability and spaciousness, making it the perfect addition to any bathroom environment. Designed to be a more eco-friendly option, the integrated washdown flushing system produces a stronger flush, reducing water consumption by 40%. The addition of the fully skirted trapway and rimless design ensures cleaning is a breeze. ",26500,20,17,21.5,"(minimalist, modern, classic, luxury, ornate, zen, natural, sleek, traditional, contemporary)"
6088IN,toilet,wall-hung,Replay,contemporary;natural,"The Replay™ wall-hung toilet bowl was designed by combining complementary principles of elegance and warmth. Its distinctive, square-front design and sleek curves come together harmoniously to give your bathroom a unique look, while the fully skirted trapway makes the toilet bowl easy to clean.",16500,16,14.5,21.5,
19045IN-SS,toilet,wall-hung,Escale,ornate;classic;luxury,"This elegantly shaped Escale™ wall-hung toilet bowl rests as a sculptural centerpiece in your bathroom. Defined by its unique square-front design for added comfort, the fully skirted trapway provides a seamless aesthetic that is both effortlessly charming and easy to clean. ",45000,16,15,24,
29172IN,toilet,wall-hung,Span,minimalist;traditional,"Minimal, yet efficient, the warm, humanistic details of this Span™ wall-hung toilet bowl bring a soft touch to your bathroom. Maintaining its geometric origins, the unique square-front design provides added comfort and style, allowing it to complement most aesthetics.",9200,16,14.5,21.5,
29278IN,toilet,wall-hung,APT,sleek;minimalist;modern;contemporary,"The APT™ toilet collection unites beauty and ingenuity for a truly personalized experience. Equipped with ergonomic side pockets for easy installation, the wall-hung design and compact, round shape are perfect for smaller bathrooms. This toilet bowl features an easy-to-clean skirted trapway, creating a seamless, integrated look with the rest of your space.",10500,16,14.5,21.5,
4417IN,toilet_seat,,Escale,ornate;classic;luxury,,6400,,,,
29173IN,toilet_seat,,Span,minimalist;traditional,,4800,,,,
23107IN-UF,toilet_seat,,Replay,contemporary;natural,,12500,,,,
20703,wash_basin,vessel,Veil,luxury;zen;natural,"KOHLER® Veil's flowing and immaculately balanced curves evoke a sculpted simplicity in tune with contemporary style. This Veil 16 inch round bathroom sink tall vessel sink basin is enhanced by a high-gloss finish and a sleek, organic shape that is easy to clean. ",80000,15,16,16,
21226IN,wash_basin,vessel,ModernLife Edge,modern;sleek;contemporary,"The ModernLife Edge® collection combines thoughtful design with a contemporary and minimalist form. This 60 cm rectangular vessel bathroom sink offers a unique aesthetic, with a rimless form that is easy to clean and complements most bathroom styles. ",38000,5.5,23.5,15.5,
31461IN,wash_basin,corner,Span,minimalist;modern,"With graceful edges and a clean, contemporary silhouette, the KOHLER® Span™ wall-mount corner bathroom sink delivers minimalist elegance to compact spaces. Blending a circular bowl with a soft square deck, it offers a warm, tactile experience while staying true to its geometric roots. Designed for versatility, its edge-free form pairs seamlessly with other pieces in the Span™ collection for a cohesive, modern look.",6000,5.5,16,16,
34229IN,wash_basin,wall-mount,APT,traditional;classic;sleek,"The KOHLER® APT™ collection exemplifies the perfect union of modern beauty and practical functionality, offering a reliable experience that elevates any bathroom. This sink, with its sleek and contemporary wall-mount design, boasts a compact, rectangular shape, making it an ideal choice for smaller bathrooms or powder rooms. Its space-saving silhouette ensures it fits seamlessly into tighter layouts without compromising style or performance. Crafted from durable, high-quality materials, this sink is built to withstand the demands of daily use while retaining its polished appearance for years to come. ",7500,5.5,22,18.5,
20704,wash_basin,vessel,Veil,ornate;luxury;natural,"The KOHLER® Veil vessel-mounted bathroom sink features flowing and immaculately balanced curves that evoke a sculpted simplicity in tune with contemporary style. Enhanced by a high-gloss finish, the oval vessel bathroom sink basin's sleek, organic shape is easy to clean.",48000,8,21,14,
31458IN,wash_basin,wall-mount,Span,minimalist;classic;contemporary,"The KOHLER® Span™ oval wall-mount bathroom sink with glazed underside is a testament to refined minimalism and functional artistry. Its gently sloped edges and unique geometric silhouette, featuring a rounded front and squared rear, create a harmonious balance of curves and clean lines that seamlessly align with your bathroom wall. Thoughtfully designed for convenience and practicality, the integrated faucet deck accommodates your choice of single-handle bathroom sink faucets, and also provides a modest yet practical countertop surface, perfect for essential bathroom items like soap, lotion, or a decorative accessory. For an added layer of sophistication, pair the Span™ sink with a coordinating shroud that elegantly conceals plumbing, transforming the setup into a semi-pedestal display that emphasizes streamlined beauty. With its robust construction and timeless design, the KOHLER® Span™ wall-mount sink is an ideal choice for compact spaces, creating an airy, open feel in smaller bathrooms. It brings together innovative craftsmanship and contemporary style to elevate your bathroom experience, making it a centerpiece of modern sophistication.",6000,7,19,18.5,
72275IN-4ND,faucet,single-handle,Aleo,contemporary;minimalist;traditional,"The Aleo® single-handle bathroom sink faucet was thoughtfully designed to offer you a truly modern experience where simplicity and beauty collide. With smooth planes and a contemporary spout, this faucet exudes minimalism while being convenient and reliable for everyday use. A single elegant Lever-style handle is easy to use as it controls both the volume and temperature with one motion.",19000,,,,
14402IN-4A,faucet,single-handle,Purist,zen;natural;luxury,"Purist faucets and accessories combine simple, architectural forms with sensual design lines.",35000,,,,
23475T-4,faucet,single-handle,Parallel,modern;luxury;ornate,"Parallel™ is the quintessential expression of today’s modern aesthetic movement. The contrast between fluid blends and sharp lines exudes sophistication and refinement. Its subtle and sensual curves invite touch, while its precise geometry gives a sense of control and precision. Parallel™ provides warmth and magnetism to any modern contemporary bathroom. True to its origins in design minimalism, Parallel™ revives a pure way to connect with the eye and the hand. ",28000,,,,
